0,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,desc,city_country,latitude,longitude,lat,lon
43,2017,Confirmed,Gauri Lankesh,,India,,,Female,https://cpj-photos.s3.amazonaws.com/AFP-Lankesh-1-2017-09-07-1504816619926.jpg,(AFP/Punit Paranjpe),Journalist,Killed,Murder,Killed,Staff,Gauri Lankesh Patrike,"Publisher/Owner,Columnist/Commentator","Corruption,Human Rights,Politics","Print,Internet",India,Bangalore,,Karnataka,Bangalore,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"At least three unidentified assailants fired at Gauri Lankesh outside her home in Bangalore as she returned home from work on September 5, 2017, according to reports that cited witnesses. She was shot in the head and chest and died immediately, according to a report in the Hindustan Times.","Bangalore, India",12.9791198,77.5912997,12.9791198,77.5912997
44,2005,Confirmed,Gautam Das,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Samakal,Print Reporter,"Corruption,Crime,Politics",Print,Bangladesh,Faridpur,,,Faridpur,,Local,Government Officials,Confirmed,,,Partial Impunity,No,No,No,,,,,,,,,,"Das, a reporter for the Dhaka-based daily Samakal, was found strangled in his bureau office in the town of Faridpur, 40 miles (64 kilometers) west of the Bangladeshi capital, according to news reports.","Faridpur, Bangladesh",23.6040182,89.8415542,23.6040182,89.8415542
45,1994,Confirmed,Ghulam Muhammad Lone,,India,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelancer,Print Reporter,"Human Rights,Politics",Print,India,Kangan,,,Kangan,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Lone, a newspaper salesman and freelance journalist who contributed to several publications, including the English-language Greater Kashmir, was killed by a group of masked gunmen who also fatally shot his seven-year-old son in their home in Kangan, Kashmir. Lone had reportedly received death threats from a security agent for his coverage of troop movements in Kashmir. Srinagar police attributed the killing to Kashmiri separatists.","Kangan, India",34.31238135,75.09708441,34.31238135,75.09708441
46,2014,Confirmed,Ghulam Rasool,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Online International News Network,Print Reporter,"Crime,Culture,Politics",Print,Pakistan,Quetta,,,Quetta,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Two unidentified gunmen stormed the offices of the independent news agency Online International News Network in Quetta, the capital of Baluchistan province, killing its reporter-in-training, Ghulam Rasool, also known as Abdul Rasul, and the bureau chief Irshad Mastoi. A network employee, accountant Muhammad Younus, was also killed, according to news reports.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
47,2010,Confirmed,Ghulam Rasool Birhamani,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Daily Sindhu Hyderabad,Print Reporter,Culture,Print,Pakistan,Wahi Pandhi,,,Wahi Pandhi,,Local,Mob Violence,Confirmed,,,Complete Impunity,Yes,Yes,Yes,,,,,,,,,,"The body of Birhamani, 40, a reporter for the Daily SindhuHyderabad, was found outside his hometown of Wahi Pandhi, Sindh province, onMay 10, a day after he was reported kidnapped. The Pakistan Federal Union ofJournalists and the media support group Pakistan Press Foundation reported thathis body was badly scarred and showed evidence of torture.","Wahi Pandhi, Pakistan",26.6602253,67.3635786,26.6602253,67.3635786
48,1996,Confirmed,Ghulam Rasool Sheikh,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Rehnuma-e-Kashmir and Saffron Times,Editor,Human Rights,Print,India,"Pampore, Kashmir",,,"Pampore, Kashmir",,Local,Paramilitary Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Sheikh, editor of the Urdu-language daily Rehnuma-e-Kashmir and the English-language weekly Saffron Times, was found dead on April 10 floating in Kashmir’s Jhelum River. He had written about an increase in killings and arson incidents his hometown, Pampore. Family members say a militia group backed by Indian state security forces had kidnapped him in March.","Pampore, Kashmir, India",34.0230269,74.9953095,34.0230269,74.9953095
49,2003,Confirmed,Gyanendra Khadka,,Nepal,,,Male,,,Journalist,,Murder,Killed,Staff,Rastriya Samachar Samiti,Print Reporter,,Print,Nepal,"Jyamire, Sindhupalchowk",,,"Jyamire, Sindhupalchowk",,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Khadka, 35, a journalist with the state-owned news agency Rastriya Samachar Samiti (RSS), was brutally murdered in Nepal’s eastern Sindhupalchowk District by a group of suspected Maoist rebels.","Jyamire, Sindhupalchowk, Nepal",27.8472719,85.6104209,27.8472719,85.6104209
50,2002,Confirmed,Harunur Rashid,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Dainik Purbanchal,Print Reporter,"Corruption,Crime",Print,Bangladesh,Khulna,,,Khulna,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Rashid, a reporter for the Bengali-language newspaper Dainik Purbanchal,was ambushed by gunmen while he was riding his motorcycle to work inthe southwestern city of Khulna, according to Bangladeshi andinternational news reports. Dainik Purbanchal, which is published in Khulna, is a well-regarded regional daily.","Khulna, Bangladesh",22.8083689,89.4426887,22.8083689,89.4426887
51,2006,Confirmed,Hayatullah Khan,,Pakistan,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/hayatullah_khan_pakistan_2006.jpg,,Journalist,,Murder,Killed,Freelance,freelance,Photographer,"Corruption,War",Print,Pakistan,Miran Shah,,,Miran Shah,,Local,Military Officials,Confirmed,,,Complete Impunity,Yes,Yes,Yes,,,,,,,,,,"Khan’s body was found by villagers in the North Waziristantown of Miran Shah, where he had been kidnapped six months earlier. Khan wasabducted on December 5, 2005, by five gunmen who ran his car off the road ashis younger brother, Haseenullah, watched helplessly. Local governmentofficials and family members said Khan, 32, had been found handcuffed and shotseveral times. His body appeared frail and he had grown a long beard since hewas last seen, Pakistani journalists told CPJ.","Miran Shah, Pakistan",33.0018133,70.0670776,33.0018133,70.0670776
52,2004,Confirmed,Humayun Kabir,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Janmabhumi,Editor,"Corruption,Crime",Print,Bangladesh,Khulna,,,Khulna,,Local,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"On June 24, 2004, an unidentified assailant threw bombs at Humayun Kabir, editor of the Bangla-language daily Janmabhumi, while he was outside his home in the southwestern Bangladeshi city of Khulna with his family, killing him, according to local news reports.","Khulna, Bangladesh",22.8083689,89.4426887,22.8083689,89.4426887
53,2020,Confirmed,Iliyas Hossain,,Bangladesh,,,Male,,,Journalist,Killed,Murder,Killed,Staff,Dainik Bijoy,Print Reporter,"Corruption,Crime",Print,Bangladesh,Bandar,,Narayanganj,Bandar,,Local,"Criminal Group,Local Residents",Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Iliyas Hossain, 45, a correspondent for the local Bangla daily newspaper, Dainik Bijoy, was repeatedly stabbed while returning home from work on the evening of October 11, 2020, in Narayanganj, a suburb of Dhaka, according to news reports and a photo of the body, which CPJ has seen. He was found in the street and taken to a hospital, where he was declared dead. Hossain’s wife Zuleka Begum filed a murder case with the police that evening, naming eight suspects, according to news reports. Within a day of the murder, police had arrested three suspects in the case, and sought five more, according to the reports, which quoted an officer in charge at the Bandar Police Station, in Narayanganj. One of the suspects confessed to the murder in police custody and later before a magistrate, according to the reports.","Bandar, Bangladesh",23.6169828,90.5127954,23.6169828,90.5127954
54,2013,Confirmed,Imran Shaikh,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Samaa TV,Camera Operator,"Crime,Human Rights,Politics",Television,Pakistan,Quetta,,,Quetta,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Shaikh,35, a senior cameraman for Samaa TV, was in a bomb blast that occurred 10minutes after an initial explosion near a billiards hall in Quetta, capital ofBaluchistan province, according to Samaa TV senior producer Azam Gondal andnews reports.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
55,1999,Confirmed,Indika Pathinivasan,,Sri Lanka,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Maharaja Television Network,Technician,Politics,Television,Sri Lanka,Colombo,,,Colombo,,Local,,Confirmed,,,,,,,,,,,,,,,,"Anura Pathinivasan, a camera assistant for Sri Lanka’s privately owned Maharaja Television Network, and Indika Priyantha, a camera assistant for the state-owned Independent Television Network, were fatally wounded by shrapnel from a suicide bomb aimed at President Chandrika Bandaranaike Kumaratunga at an election rally in Colombo. Five other journalists were injured by the blast, along with Kumaratunga and scores of onlookers.","Colombo, Sri Lanka",6.9387469,79.8541134,6.9387469,79.8541134
56,2014,Confirmed,Irshad Mastoi,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,"Online International News Network, ARY News","Editor,Print Reporter","Human Rights,Politics,War","Print,Television",Pakistan,Quetta,,,Quetta,,Local,,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Two unidentified gunmen stormed the offices of the independent news agency Online International News Network in Quetta, the capital of Baluchistan province, and shot dead Mastoi, the agency’s bureau chief, and reporter-in-training Ghulam Rasool. A network employee, accountant Muhammad Younus, was also killed, according to news reports. The assailants fled the scene after the attack, according to reports.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
57,2007,Confirmed,Isaivizhi Chempiyan,,Sri Lanka,,,Female,,,Journalist,,Crossfire,Killed,Staff,Voice of Tigers,Broadcast Reporter,War,Radio,Sri Lanka,Kilinochchi,,,Kilinochchi,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"Announcer Isaivizhi Chempiyan and technicians Suresh Linbiyo and T. Tharmalingam were killed in a Sri Lankan Air Force air strike. Fighter jets dropped a dozen bombs on the station shortly before Velupillai Prabhakaran, leader of the separatist Liberation Tigers of Tamil Eelam (LTTE), was due to broadcast a statement. At least five other people were killed in the strike against the LTTE-run station, according to local media reports.","Kilinochchi, Sri Lanka",9.3840068,80.4087224,9.3840068,80.4087224
58,1997,Confirmed,Jagadish Babu,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Eenadu Television (E-TV),Producer,"Business,Culture",Television,India,Hyderabad,,,Hyderabad,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Babu, a producer for private channel E-TV; Gangadhara Raju, an E-TV cameraman; Srinivas Rao and Krishna, assistant cameramen for E-TV; and Raja Sekhar, an assistant for E-TV, were killed in a car bomb explosion while covering the making of a film. As they were leaving the Rama Naidu Studios in Hyderabad, their vehicle caught the brunt of the massive blast, which police said was caused by a remote control car bomb parked by the studio entrance. The television crew’s driver, P. Chandra Sekhar Reddy, was also killed. At least 17 others died and more than 30 were injured. The attack is believed to have been motivated by political rivalry targeted at the film’s producer, Paritala Ravi, a former guerrilla leader pardoned in return for his surrender. Ravi is also a state legislator and member of the governing Telugu Desam party.","Hyderabad, India",17.360589,78.4740613,17.360589,78.4740613
59,2015,Confirmed,Jagendra Singh,,India,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/jagendra%252520singh%252520ap.jpg,AP,Journalist,,Murder,Killed,Freelance,Freelance,Internet Reporter,"Corruption,Crime,Politics","Print,Internet",India,"Shahjahanpur district, Uttar Pradesh",,,"Shahjahanpur district, Uttar Pradesh",,Local,Government Officials,Confirmed,,,Complete Impunity,Yes,No,No,,,,,,,,,,"Jagendra Singh, a freelance journalist who reported critically on politics and current affairs in Hindi-language newspapers and on Facebook, died from burn injuries he sustained after a police raid at his home on June 1, local reports said.","Shahjahanpur district, Uttar Pradesh, India",27.8552433,79.8944047,27.8552433,79.8944047
60,2012,Confirmed,Jamal Uddin,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Gramer Kagoj,Print Reporter,Crime,Print,Bangladesh,Kashipur,,,Kashipur,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"An unidentified group of men armed with sharp weapons,including machetes, attacked Uddin at a tea stall in Kashipur village in thedistrict of Jessore on the border with India, according to news reports. Theassailants slashed his arms, legs, and eyes, leaving him with multiple severeinjuries, news reports said. Uddin died at a local hospital later that night,the reports said.","Kashipur, Bangladesh",23.1923617,89.6112727,23.1923617,89.6112727
61,2009,Confirmed,Janullah Hashimzada,,,,,Male,,,Journalist,,Murder,Killed,Freelance,freelance,Broadcast Reporter,"Politics,War",Television,Pakistan,Jamrud,,,Jamrud,,Foreign,Military Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Four unidentified gunmen fired on the Afghan journalist andhis colleague, Ali Khan, while they were traveling on a public minibus near thetown of Jamrud, Khyber Agency, northwestern Pakistan, according to local andinternational news reports. A white sedan carrying the gunmen intercepted the bus withHashimzada and Khan as it was en route to Peshawar from the Afghan border townof Torkham, according to The Associated Press. The gunmen targeted thejournalists, killing Hashimzada and severely injuring Khan, according to AP. Noother injuries were reported. The type of vehicle used by the gunmen is standardissue for Pakistan’s intelligence agency.","Jamrud, Pakistan",34.0020094,71.3808343,34.0020094,71.3808343
62,2008,Confirmed,Javed Ahmed Mir,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Channel 9,Camera Operator,Politics,Television,India,Srinagar,,,Srinagar,,Local,Paramilitary Group,Confirmed,,,,,,,,,,,,,,,,"Security forces shot and killed Mir while he was covering protests during a spate of violence in the northern Indian state of Jammu and Kashmir, according to the BBC and local journalists.","Srinagar, India",34.0747444,74.8204443,34.0747444,74.8204443
63,2007,Confirmed,Javed Khan,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Markaz and DM Digital TV,Photographer,Politics,"Print,Television,Internet",Pakistan,Islamabad,,,Islamabad,,Local,,Confirmed,,,,,,,,,,,,,,,,"Khan, a photographer for the Islamabad-based daily Markazand a cameraman for U.K.-based DM Digital TV, was shot in the chest and neckwhile caught in crossfire between government forces and the students of Lal Masjid(Red Mosque) in Islamabad, according to media reports. Four other journalistswere wounded in the clashes.","Islamabad, Pakistan",33.6938118,73.0651511,33.6938118,73.0651511
64,2011,Confirmed,Javed Naseer Rind,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Daily Tawar,"Columnist/Commentator,Editor,Print Reporter","Crime,Human Rights,Politics",Print,Pakistan,Khuzdar,,,Khuzdar,,Local,,Confirmed,,,Complete Impunity,Yes,Yes,Yes,,,,,,,,,,"Rind’s body was found in Khuzdar on November 5, nearly twomonths after he was abducted, according to news reports. The journalist hadbeen shot multiple times in the head and chest, and his body showed numeroussigns of torture, local news media reported. The killing appeared to haveoccurred shortly before the discovery.","Khuzdar, Pakistan",27.8000135,66.6166537,27.8000135,66.6166537
65,2011,Confirmed,Jyotirmoy Dey,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Midday,Print Reporter,Corruption,Print,India,Powai,,,Powai,,Local,Criminal Group,Confirmed,,,Full Justice,No,No,No,,,,,,,,,,"Multiple men on motorcycles fired several shots at Dey as he drove past them on his own motorcycle in Powai, a suburb of Mumbai. The journalist died at the scene from five bullet wounds to the head and chest, his colleagues at Midday told CPJ. Dey, special investigations editor for Midday, was known for his hard-hitting coverage of Mumbai’s crime world.","Powai, India",19.1187195,72.9073476,19.1187195,72.9073476
66,2004,Confirmed,Kamal Hossain,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Ajker Kagoj,Print Reporter,Crime,Print,Bangladesh,Manikcchari ,,,Manikcchari ,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,Yes,Yes,,,,,,,,,,"Hossain, the local correspondent for the Bangla-language daily AjkerKagoj, was abducted and brutally murdered by unknown assailantsin the early morning in Manikcchari, eastern Chittagong District,according to local news reports. The newswire service the United Newsof Bangladesh (UNB) reported that police discovered Hossain’s decapitatedbody nearby hours later. According to Bangladeshi news reports, armed men broke into Hossain’shouse in the middle of the night and threatened to kill Hossain’s2-year-old son unless he surrendered to them. The men took Hossainaway at gunpoint. Hossain, 32, was the general secretary of the Manikcchari Press Cluband had recently written several articles about criminal activity,according to local journalists. The Chittagong District is notoriousfor organized crime, including the illegal trade of lumber and arms,sources told CPJ. Hossain was also involved with the local youth wingof the ruling Bangladesh Nationalist Party, the Jatiyatabadi ChhatraDal, and had recently had a dispute with a neighbor about land, Bangladeshinews outlets reported.","Manikcchari , Bangladesh",22.8394953,91.809886,22.8394953,91.809886
67,2016,Confirmed,Karun Misra,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Jansandesh Times,Print Reporter,"Corruption,Crime,Politics",Print,India,"Sultanpur, Uttar Pradesh",,,"Sultanpur, Uttar Pradesh",,Local,"Criminal Group, Local Residents",Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Three gunmen on motorcycles shot Misra in Sultanpur district as the journalist was driving to his home in Ambedkar Nagar on the afternoon of February 13, according to local media reports. Misra, who was the Ambedkar Nagar bureau chief of the Hindi daily Jansandesh Times, died from his injuries on the way to the hospital, according to The Hindu.","Sultanpur, Uttar Pradesh, India",26.24251085,82.29616932,26.24251085,82.29616932
68,2004,Confirmed,Lanka Jayasundara,,Sri Lanka,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Wijeya Publications,Print Reporter,"Culture,Sports",Print,Sri Lanka,Colombo,,,Colombo,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,Jayasundarawas killed in a December 11 grenade attack at amusic concert that had drawn controversy because it was held on theanniversary of a Buddhist cleric’s death.,"Colombo, Sri Lanka",6.9387469,79.8541134,6.9387469,79.8541134
69,2009,Confirmed,Lasantha Wickramatunga,,Sri Lanka,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/lasantha_wickramatunga.jpg,Courtesy Wickrematunge family,Journalist,,Murder,Killed,Staff,The Sunday Leader,Editor,"Human Rights,Politics,War",Print,Sri Lanka,an area outside Colombo,,,an area outside Colombo,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,Eight helmeted men on four motorcycles forced Wickramatunga’scar to the side of a busy street outside Colomboand beat him with iron bars and wooden poles. He died in a local hospital a fewhours later.,"Colombo, Sri Lanka",6.9387469,79.8541134,6.9387469,79.8541134
70,1992,Confirmed,M. L. Manchanda,,India,,,Male,,,Journalist,,Murder,Killed,Staff,All India Radio,Producer,Politics,Radio,India,Patiala,,,Patiala,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Manchanda, director of the All India Radio station in Patiala, Punjab, was abducted by members of the militant organization Babbar Khalsa. They demanded that electronic media adhere to a code of conduct, which included broadcasting in the local language of Punjabi rather than Hindi. Negotiations for Manchanda’s release broke down after the government failed to meet the deadline set for complying with Babbar Khalsa’s demands. On May 27, the militants beheaded the journalist.","Patiala, India",30.2090874,76.33987209,30.2090874,76.33987209
71,2005,Confirmed,Maheshwar Pahari,,Nepal,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Rastriya Swabhiman,Print Reporter,"Politics,War",Print,Nepal,Pokhara,,,Pokhara,,Local,Government Officials,Confirmed,,,,,,,,,,,,,,,,"Imprisoned reporter Pahari died after being denied proper medicaltreatment by authorities. Pahari, 30, who worked for the weekly Rastriya Swabhiman, diedof multiple illnesses in a hospital in Pokhara, 80 miles (130kilometers) northwest of Kathmandu, according to local journalistgroups.","Pokhara, Nepal",28.209538,83.991402,28.209538,83.991402
72,2010,Confirmed,Malik Arif,,Pakistan,,,Male,,,Journalist,,Crossfire,Killed,Staff,Samaa TV,Camera Operator,,Television,Pakistan,Quetta,,,Quetta,,Local,,Confirmed,,,,,,,,,,,,,,,,"Arif, a cameraman, was killed in a suicide bombing at alocal hospital, news reports said. The blast occurred outside the emergencyward of Civil Hospital in Quetta, capital of restive Baluchistan province,killing at least eight people and injuring numerous others, including fivejournalists. The journalists were covering a Shia demonstration outside thehospital, where a prominent local Shia bank manager had been taken after anattack.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
73,2004,Confirmed,Manik Saha,,Bangladesh,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/maniksaha.bangla.2004.jpg,BBC,Journalist,,Murder,Killed,Staff,New Age,Print Reporter,"Crime,Politics",Print,Bangladesh,Khulna,,,Khulna,,Local,Political Group,Confirmed,,,Partial Impunity,No,No,Yes,,,,,,,,,,"Saha, a veteran journalist and press freedom activist, was targeted and killed in a bomb attack in the southwestern city of Khulna.","Khulna, Bangladesh",22.8083689,89.4426887,22.8083689,89.4426887
74,2021,Confirmed,Manish Kumar Singh,,India,,,Male,https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Manish-Kumar-Singh.jpeg_3726c9a4-4d8e-4366-b681-a7330703b9ae.jpeg,Suresh Chavhanke,Journalist,Killed,Murder,Killed,Staff,Sudarshan TV,Broadcast Reporter,"Corruption,Crime,Politics",Television,India,Bihar,,Bihar,,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Manish Kumar Singh, a reporter with the Hindi-language privately owned news channel Sudarshan TV, went missing in Bihar state’s East Champaran district on August 8, 2021, and villagers found his body on August 10, according to local news reports and Sanjay Singh, the journalist’s father, who spoke to CPJ in a phone interview.","Bihar, India",25.6440845,85.906508,25.6440845,85.906508
75,2007,Confirmed,Mehboob Khan,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Freelance,freelance,Photographer,Politics,Print,Pakistan,Charsadda,,,Charsadda,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Khan, a photographer, was killed in a suicide bomb attackaimed at Interior Minister Aftab Sherpao. The minister escaped with minorinjuries, but 28 people died in the attack at a political rally in North WestFrontier Province, which is now known as Khyber Pakhtunkhwa. Three otherjournalists were injured in the attack.","Charsadda, Pakistan",34.1461506,71.7337719,34.1461506,71.7337719
76,2016,Confirmed,Mehmood Khan,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,DawnNews,Camera Operator,"Business,Corruption,Crime,Culture,Human Rights,Politics,Sports","Television,Internet",Pakistan,Quetta,,,Quetta,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"DawnNews cameraman Mehmood Khan died in a massive bomb blast in Quetta, Pakistan, that killed more than 70 people on August 8, 2016, according to press reports. Khan, 25, filming lawyers gathered at the Quetta Civil Hospital to mourn the murder of their colleague Bilal Kasi, President of the Baluchistan Bar Association, whose car was attacked by gunmen on motorcycles.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
77,2000,Confirmed,Mir Illias Hossain,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Dainik Bir Darpan,"Columnist/Commentator,Editor",Politics,Print,Bangladesh,Jhenaidah,,,Jhenaidah,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Hossain, 43, editor of the newspaper Dainik Bir Darpan, was assassinated in the southwestern town of Jhenaidah. According to the English-language daily The Independent, published from Dhaka, three unidentified assailants riding a motorcycle fired from close range at Hossain and a friend as they were talking outside a shop. Hossain was killed instantly. His friend, Alfaj Uddin, died en route to the hospital.","Jhenaidah, Bangladesh",23.5446964,89.1731943,23.5446964,89.1731943
78,2013,Confirmed,Mirza Iqbal Hussain,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,News Network International,Photographer,"Crime,Human Rights,Politics",Internet,Pakistan,Quetta,,,Quetta,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Hussain,a photographer for News Network International, a Pakistani independent newsagency, died in a hospital from injuries he sustained in a bomb blast that occurred10 minutes after an initial explosion near a billiards hall in Quetta, capitalof Baluchistan province, according to NNI editor Tariq Nadeem and local news reports.","Quetta, Pakistan",30.1957677,67.0172447,30.1957677,67.0172447
79,2010,Confirmed,Misri Khan,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Freelance,Ausaf and Mashriq,Print Reporter,"Culture,Politics,War",Print,Pakistan,Hangu,,,Hangu,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Khan, a newspaper reporter and head of the local journalistsassociation, was shot several times as he entered the press club building inHangu, near the border with Afghanistan, according to news reports and thePakistan Federal Union of Journalists. Shahid Sabir, news editor for theUrdu-language daily Ausaf, said two or more assailants had apparently beenlying in wait. Khan was a reporter for Ausaf, as well as Mashriq, an Urdu-languagedaily published in Peshawar, provincial capital of Khyber Pakhtunkhwa. Khan wasalso president of the Hangu Union of Journalists.","Hangu, Pakistan",33.527996,71.0575407,33.527996,71.0575407
80,2009,Confirmed,Mohammad Imran,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Express TV,Camera Operator,War,Television,Pakistan,Dera Ismail Khan,,,Dera Ismail Khan,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"A suicide bomber killed Imran, a cameraman trainee forExpress TV, and Tahir Awan, a freelance reporter for the local Eitedal and ApnaAkhbar newspapers, in North West Frontier Province, now known as Khyber Pakhtunkhwa,according to the Pakistan Federal Union of Journalists and local news reports.","Dera Ismail Khan, Pakistan",31.827527,70.9090919,31.827527,70.9090919
81,1996,Confirmed,Mohammad Quamruzzaman,,Bangladesh,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Neel Sagar,Print Reporter,Politics,Print,Bangladesh,Nilphamari,,,Nilphamari,,Local,Military Officials,Confirmed,,,,,,,,,,,,,,,,"Quamruzzaman, a reporter for the weekly newspaper Neel Sagar, was fatally shot by security officers while covering their crackdown on a violent protest against election results in the northern town of Nilphamari.","Nilphamari, Bangladesh",25.9339275,88.8534588,25.9339275,88.8534588
82,1994,Confirmed,Mohammad Samdani Warsi,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Parcham,,,Print,Pakistan,Karachi,,,Karachi,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Samdani, business manager of the Urdu-language daily Parcham, was shot and killed by unknown gunmen at the newspaper’s office. The assailants were looking for Parcham’s editor but turned on Samdani when they failed to find their original target. The paper’s editorial policy supported the Mohajir Quami Movement.","Karachi, Pakistan",24.8546842,67.0207055,24.8546842,67.0207055
83,2008,Confirmed,Mohammed Ibrahim,,Pakistan,,,Male,,,Journalist,,Murder,Killed,Staff,Express TV and Daily Express,Broadcast Reporter,Politics,Television,Pakistan,Khar,,,Khar,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Ibrahim, a reporter for Express TV, was gunned down byunidentified men outside Khar, the main town of the Bajaur tribal area,according to news reports. The journalist was returning by motorcycle from aninterview with local Taliban spokesman Maulvi Omar, according to the PakistanFederal Union of Journalists and Imtiaz Ali, a Washington Post correspondentbased in the nearby regional capital of Peshawar.","Khar, Pakistan",34.6146799,71.9380292,34.6146799,71.9380292
84,2008,Confirmed,Mohammed Muslimuddin,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Asomiya Pratidin,Print Reporter,Crime,Print,India,Barpukhuri,,,Barpukhuri,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"About six assailants armed with “sharp weapons” attacked Mohammed Muslimuddin, a correspondent with the daily Asomiya Pratidin, near his residence in the village of Barpukhuri in northeastern Assam state, according to local news reports. He died of multiple injuries to the head, chest, stomach, and back en route to a hospital in the capital, Guwahati, the reports said.","Barpukhuri, India",6.0154005,92.837707,6.0154005,92.837707
