"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2007","Confirmed","Muhammad Arif",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","ARY Television","Camera Operator","Politics","Television","Pakistan","Karachi",,,"Karachi",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Mukarram Khan Aatif",,"Pakistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Aatif.jpg","AP","Journalist",,"Murder","Killed","Freelance","Freelance","Broadcast Reporter","Politics,War","Radio,Television","Pakistan","Shabqadar",,,"Shabqadar",,"Local","Military Officials, Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2006","Confirmed","Munir Ahmed Sangi",,"Pakistan",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Kawish Television Network","Camera Operator","Human Rights","Television","Pakistan","Larkana",,,"Larkana",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2009","Confirmed","Musa Khankhel",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Geo TV and The News","Broadcast Reporter,Print Reporter","Politics,War","Print,Television","Pakistan","Swat",,,"Swat",,"Local","Military Officials","Confirmed",,,"Complete Impunity","Yes","Yes","No",,,,,,,,,
"1995","Confirmed","Mushtaq Ali",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Agence France-Presse and Asian News International","Camera Operator,Photographer",,"Print","India","Srinagar",,,"Srinagar",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2012","Confirmed","Mushtaq Khand",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Dharti Television Network and Mehran","Broadcast Reporter,Print Reporter","Crime,Politics,War","Print,Television","Pakistan","Khairpur",,,"Khairpur",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","MVN Shankar",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Andhra Prabha","Print Reporter","Corruption","Print","India","Andhra Pradesh",,,"Andhra Pradesh",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2000","Confirmed","Mylvaganam Nimalarajan",,"Sri Lanka",,,"Male",,,"Journalist",,"Murder","Killed","Staff","BBC, Virakesari, Ravaya","Broadcast Reporter,Print Reporter","Corruption","Print,Radio","Sri Lanka","Jaffna",,,"Jaffna",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2001","Confirmed","Nahar Ali",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Anirban","Print Reporter","Business,Corruption,Crime","Print","Bangladesh","Khulna",,,"Khulna",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2013","Confirmed","Narendra Dabholkar",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Sadhana","Editor","Culture,Politics","Print","India","Pune",,,"Pune",,"Local",,"Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2011","Confirmed","Nasrullah Khan Afridi",,"Pakistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/may%25252018%252520nasrullah_afridi_credit%252520Khyber%252520Union%252520of%252520Journalists.jpg","(Khyber Union of Journalists)","Journalist",,"Murder","Killed","Freelance","Pakistan Television and Mashriq","Broadcast Reporter,Print Reporter",,"Print,Television","Pakistan","Peshawar",,,"Peshawar",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2002","Confirmed","Nava Raj Sharma",,"Nepal",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Kadam","Editor","Culture,Human Rights,Politics,War","Print","Nepal","Kalikot",,,"Kalikot",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2018","Confirmed","Navin Nischal",,"India",,,"Male",,,"Journalist","Killed","Murder","Killed","Freelance","Dainik Bhaskar","Print Reporter","Politics","Print","India","Arrah",,"Bihar","Arrah","Bhojpur","Local","Government Officials,Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2015","Confirmed","Niloy Neel",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Internet Reporter","Culture,Human Rights,Politics","Internet","Bangladesh","Dhaka",,,"Dhaka",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2007","Confirmed","Noor Hakim Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Daily Pakistan","Print Reporter","Politics,War","Print","Pakistan","Bajaur",,,"Bajaur",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"1997","Confirmed","P. Srinivas Rao",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Eenadu Television (E-TV)","Camera Operator","Business,Culture","Television","India","Hyderabad",,,"Hyderabad",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"1996","Confirmed","Parag Kumar Das",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Asomiya Pratidin","Editor","Human Rights","Print","India","Assam",,,"Assam",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2008","Confirmed","Paranirupasingham Devakumar",,"Sri Lanka",,,"Male",,,"Journalist",,"Murder","Killed","Staff","News 1st","Broadcast Reporter","Politics,War","Television","Sri Lanka","Jaffna",,,"Jaffna",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2003","Confirmed","Parvaz Mohammed Sultan",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","News and Feature Alliance","Editor","Politics","Print","India","Srinagar",,,"Srinagar",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2010","Confirmed","Pervez Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Waqt TV","Broadcast Reporter,Camera Operator","Politics,War","Television","Pakistan","Ghalanai",,,"Ghalanai",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2000","Confirmed","Pradeep Bhatia",,"India",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/pradeep_bhatia_india_2000.jpg","","Journalist",,"Dangerous Assignment","Killed","Staff","The Hindustan Times","Photographer","War","Print","India","Srinagar",,,"Srinagar",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2006","Confirmed","Prahlad Goala",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Asomiya Khabar","Print Reporter","Corruption","Print","India","Golaghat",,,"Golaghat",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2007","Confirmed","Prakash Singh Thakuri",,"Nepal",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Print Reporter","Politics","Print","Nepal","Mahendranagar",,,"Mahendranagar",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2009","Confirmed","Puniyamoorthy Sathiyamoorthy",,"Sri Lanka",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Broadcast Reporter","Politics,War","Radio,Television","Sri Lanka","Mullaitheevu district",,,"Mullaitheevu district",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
"2016","Confirmed","Rajdev Ranjan",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Hindustan","Print Reporter","Corruption,Crime,Politics","Print","India","Siwan, Bihar",,,"Siwan, Bihar",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2012","Confirmed","Rajesh Mishra",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Media Raj","Print Reporter","Corruption","Print","India","Rewa",,,"Rewa",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2017","Confirmed","Rajesh Mishra",,"India",,,"Male",,,"Journalist","Killed","Murder","Killed","Freelance","Dainik Jagran","Print Reporter","Corruption,Crime","Print","India","Brahmanpur Chatti, Ghazipur district",,"Uttar Pradesh","Brahmanpur Chatti, Ghazipur district",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2013","Confirmed","Rajesh Verma",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","IBN 7","Broadcast Reporter,Camera Operator","Crime,Politics","Television","India","Muzaffarnagar, Uttar Pradesh",,,"Muzaffarnagar, Uttar Pradesh",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2013","Confirmed","Rakesh Sharma",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Aaj","Print Reporter","Corruption,Crime,Politics","Print","India","Etawah, Uttar Pradesh",,,"Etawah, Uttar Pradesh",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2020","Confirmed","Rakesh Singh",,"India",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Rashtriya Swaroop","Print Reporter","Corruption,Crime,Politics","Print","India","Balrampur, Uttar Pradesh",,"Uttar Pradesh","Balrampur, Uttar Pradesh",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","Yes","No","Yes",,,,,,,,,
"2002","Confirmed","Ram Chander Chaterpatti",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Poora Sach","Editor","Crime","Print","India","Sirsa",,,"Sirsa",,"Local","Political Group","Confirmed",,,"Full Justice","No","No","No",,,,,,,,,
"1992","Confirmed","Ram Singh Biling",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","Azdi Awaz, Daily Ajit","Print Reporter","Corruption,Human Rights,Politics","Print","India","Jalandhar",,,"Jalandhar",,"Local","Government Officials","Confirmed",,,,,,,,,,,,,,,
"2008","Confirmed","Rashmi Mohamed",,"Sri Lanka",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Sirasa TV","Broadcast Reporter","Politics,War","Television","Sri Lanka","Anuradhapura",,,"Anuradhapura",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2012","Confirmed","Razzaq Gul",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Express News TV","Broadcast Reporter","Politics,War","Television","Pakistan","Turbat",,,"Turbat",,"Local",,"Confirmed",,,"Complete Impunity","Yes","Yes","No",,,,,,,,,
"2012","Confirmed","Rehmatullah Abid",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Dunya News TV, Intikhaab","Broadcast Reporter,Camera Operator,Print Reporter","Business,Corruption,Crime,Human Rights,Politics,War","Print,Television","Pakistan","Panjgur, Baluchistan",,,"Panjgur, Baluchistan",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2005","Confirmed","Relangi Selvarajah",,"Sri Lanka",,,"Female",,,"Journalist",,"Murder","Killed","Staff","Sri Lanka Rupavahini Corp.","Columnist/Commentator","Human Rights,Politics","Radio","Sri Lanka","Colombo",,,"Colombo",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"1997","Confirmed","S. Gangadhara Raju",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Eenadu Television (E-TV)","Camera Operator","Business,Culture","Television","India","Hyderabad",,,"Hyderabad",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"1997","Confirmed","S. Krishna",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Eenadu Television (E-TV)","Camera Operator","Business,Culture","Television","India","Hyderabad",,,"Hyderabad",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","Sadrul Alam Nipul",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Dainik Mathabhanga","Print Reporter","Crime","Print","Bangladesh","Chuadanga",,,"Chuadanga",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2013","Confirmed","Sai Reddy",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Deshbandhu","Print Reporter","Corruption,Culture,Politics","Print","India","Bijapur District",,,"Bijapur District",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1997","Confirmed","Saidan Shafi",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Doordarshan TV","Broadcast Reporter","Politics","Television","India","Srinagar",,,"Srinagar",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2013","Confirmed","Saif ur Rehman",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Samaa TV","Broadcast Reporter","Crime,Human Rights,Politics","Television","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"1998","Confirmed","Saiful Alam Mukul",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Daily Runner","Editor,Publisher/Owner","Corruption,Crime,Human Rights","Print","Bangladesh","Jessore",,,"Jessore",,"Local",,"Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2004","Confirmed","Sajid Tanoli",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Shumal","Print Reporter","Corruption","Print","Pakistan","Mansehra",,,"Mansehra",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2011","Confirmed","Saleem Shahzad",,"Pakistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Shahzad.rtr.jpg","Reuters","Journalist",,"Murder","Killed","Staff","Asia Times Online","Columnist/Commentator,Internet Reporter","Business,Corruption,Politics,War","Internet","Pakistan","Mandi Bahauddin",,,"Mandi Bahauddin",,"Local","Military Officials","Confirmed",,,"Complete Impunity","Yes","Yes","Yes",,,,,,,,,
"2018","Confirmed","Sandeep Sharma",,"India",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","News World","Broadcast Reporter","Corruption","Television","India","Ghazipur district",,"Ghazipur district",,"Uttar Pradesh","Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2012","Confirmed","Saqib Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Ummat","Photographer","Business,Corruption","Print,Internet","Pakistan","Karachi",,,"Karachi",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2007","Confirmed","Selvarajah Rajeewarnam",,"Sri Lanka",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Uthayan","Print Reporter","Politics,War","Print","Sri Lanka","Jaffna",,,"Jaffna",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2011","Confirmed","Shafiullah Khan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","The News","Print Reporter","Crime,Politics","Print","Pakistan","Wah Cantonment",,,"Wah Cantonment",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2002","Confirmed","Shahid Soomro",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Kawish","Print Reporter","Human Rights","Print","Pakistan","Kandhkot",,,"Kandhkot",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2021","Confirmed","Shahid Zehri",,"Pakistan",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/shahid-zehri.PNG_f656e15f-1e17-426a-9135-9ca5dc394e38.png","YouTube/Metro 1 News","Journalist","Killed","Murder","Killed","Staff","Metro 1 News","Broadcast Reporter","Politics","Television","Pakistan","Hub",,,"Hub","Baluchistan","Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2000","Confirmed","Shamsur Rahman",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Janakantha","Broadcast Reporter,Print Reporter","Crime","Print,Radio","Bangladesh","Jessore",,,"Jessore",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2014","Confirmed","Shan Dahar",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Abb Takk Television","Broadcast Reporter","Corruption,Crime,Politics","Television","Pakistan","Larkana",,,"Larkana",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2017","Confirmed","Shantanu Bhowmik",,"India",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Dinraat","Broadcast Reporter","Politics","Television","India","West Tripura district",,"Tripura","West Tripura district",,"Local","Mob Violence","Confirmed",,"No",,,,,,,,,,,,,
"2016","Confirmed","Shehzad Ahmed",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Aaj News","Camera Operator","Business,Corruption,Crime,Culture,Human Rights,Politics,Sports","Television","Pakistan","Quetta",,,"Quetta",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2005","Confirmed","Sheikh Belaluddin",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Sangram","Print Reporter",,"Print","Bangladesh","Khulna",,,"Khulna",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2009","Confirmed","Shoba",,"Sri Lanka",,,"Female",,,"Journalist",,"Crossfire","Killed","Staff","O'liveechchu","Broadcast Reporter","War","Television,Internet","Sri Lanka","Mullivaikkal",,,"Mullivaikkal",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2020","Confirmed","Shubham Mani Tripathi",,"India",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Kampu Mail","Print Reporter","Politics","Print","India","Uttar Pradesh",,"Uttar Pradesh",,,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2018","Confirmed","Shujaat Bukhari",,"India",,,"Male","https://cpj-photos.s3.amazonaws.com/Bukhari%202%20AP-2018-06-22-1529700255957.jpg","AP/Bikas Das","Journalist","Killed","Murder","Killed","Staff","Rising Kashmir","Editor,Print Reporter","Human Rights,Politics","Print","India","Srinagar city",,"Jammu and Kashmir","Srinagar city",,"Local",,"Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2002","Confirmed","Shukur Hossain",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Anirban","Print Reporter","Corruption,Crime","Print","Bangladesh","Ula",,,"Ula",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","Yes","No",,,,,,,,,
"2008","Confirmed","Siraj Uddin",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","The Nation","Print Reporter",,"Print","Pakistan","Mingora",,,"Mingora",,"Local",,"Confirmed",,,,,,,,,,,,,,,
"2018","Confirmed","Sohail Khan",,"Pakistan",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","K2 Times","Print Reporter","Corruption,Crime","Print","Pakistan","Haripur",,,"Haripur","Khyber Pakhtunkhwa","Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2007","Confirmed","Subash Chandraboas",,"Sri Lanka",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Nilam","Publisher/Owner","Culture,Sports","Print","Sri Lanka","an area near Vavuniya",,,"an area near Vavuniya",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2006","Confirmed","Subramaniyam Sugitharajah",,"Sri Lanka",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Sudar Oli","Print Reporter","Corruption,Politics","Print","Sri Lanka","Trincomalee",,,"Trincomalee",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2017","Confirmed","Sudip Dutta Bhaumik",,"India",,,"Male",,,"Journalist","Killed","Murder","Killed","Staff","Syandan Patrika","Print Reporter","Politics,Corruption","Print","India","West Tripura district",,"Tripura state","West Tripura district",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2000","Confirmed","Sufi Mohammad Khan",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Ummat","Print Reporter","Crime","Print","Pakistan","Badin",,,"Badin",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2021","Confirmed","Sulabh Srivastava",,"India",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/india_06-15-2021.png_0e1f1e5f-faae-421d-88b0-67ffeec52696.png","ABP Ganga/YouTube","Journalist","Killed","Murder","Killed","Staff","ABP News,ABP Ganga","Broadcast Reporter","Crime","Television","India","Pratapgarh District",,"Uttar Pradesh","Pratapgarh District",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2007","Confirmed","Suresh Linbiyo",,"Sri Lanka",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Voice of Tigers","Technician","War","Radio","Sri Lanka","Kilinochchi",,,"Kilinochchi",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2007","Confirmed","T. Tharmalingam",,"Sri Lanka",,,"Male",,,"Journalist",,"Crossfire","Killed","Staff","Voice of Tigers","Technician","War","Radio","Sri Lanka","Kilinochchi",,,"Kilinochchi",,"Local","Military Officials","Confirmed",,,,,,,,,,,,,,,
"2009","Confirmed","Tahir Awan",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Freelance","freelance","Print Reporter","War","Print","Pakistan","Dera Ismail Khan",,,"Dera Ismail Khan",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2017","Confirmed","Taimoor Khan",,"Pakistan",,,"Male",,,"Journalist","Killed","Dangerous Assignment","Killed","Staff","Samaa TV","Camera Operator","Crime,Politics","Television","Pakistan","Karachi",,,"Karachi",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2014","Confirmed","Tarun Kumar Acharya",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Kanak TV, Sambad","Broadcast Reporter,Print Reporter","Corruption,Crime,Human Rights","Print,Television","India","Odisha",,,"Odisha",,"Local","Local Residents","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2009","Confirmed","Uma Singh",,"Nepal",,,"Female","https://cpj-photos.s3-us-west-2.amazonaws.com/uma_singh_small.jpg","A protester holds a photo of Uma Singh. (Reuters)","Journalist",,"Murder","Killed","Staff","Janakpur Today, Radio Today","Broadcast Reporter","Human Rights,Politics","Print,Radio","Nepal","Janakpur ",,,"Janakpur ",,"Local","Political Group","Confirmed",,,"Full Justice","No","No","Yes",,,,,,,,,
"2011","Confirmed","Umesh Rajput",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Nai Dunia","Print Reporter","Corruption,Human Rights,Politics","Print","India","Raipur district",,,"Raipur district",,"Local","Local Residents","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2004","Confirmed","Veeraboina Yadagiri",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Andhra Prabha","Print Reporter","Corruption,Crime","Print","India","Medak",,,"Medak",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2010","Confirmed","Vijay Pratap Singh",,"India",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Indian Express","Print Reporter","Business,Politics","Print","India","Allahabad",,,"Allahabad",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2008","Confirmed","Vikas Ranjan",,"India",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Hindustan","Print Reporter","Corruption","Print","India","Rosera",,,"Rosera",,"Local",,"Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2011","Confirmed","Wali Khan Babar",,"Pakistan",,,"Male","https://cpj-photos.s3-us-west-2.amazonaws.com/Wali%252520Khan%252520Baber%252520Investigation%252520PKG.jpg",,"Journalist",,"Murder","Killed","Staff","Geo TV","Broadcast Reporter","Corruption,Crime,Human Rights,Politics","Television","Pakistan","Karachi",,,"Karachi",,"Local","Political Group","Confirmed",,,"Partial Impunity","No","No","Yes",,,,,,,,,
"2015","Confirmed","Washiqur Rahman Babu",,"Bangladesh",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Freelance","Internet Reporter","Culture,Human Rights,Politics","Internet","Bangladesh","Dhaka",,,"Dhaka",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"2017","Confirmed","Yameen Rasheed",,"Maldives",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Maldives_9_1.jpg_ae5ffe90-281a-485a-9815-dd49399b91cf.jpeg","CPJ","Journalist","Killed","Murder","Killed","Staff","The Daily Panic","Columnist/Commentator,Publisher/Owner","Corruption,Politics","Internet","Maldives","Malé",,,"Malé",,"Local","Criminal Group","Confirmed",,,"Complete Impunity","No","No","Yes",,,,,,,,,
"1997","Confirmed","Z.A. Shahid",,"Pakistan",,,"Male",,,"Journalist",,"Dangerous Assignment","Killed","Staff","Khabrain","Photographer","Politics","Print","Pakistan","Lahore",,,"Lahore",,"Local","Political Group","Confirmed",,,,,,,,,,,,,,,
"2015","Confirmed","Zaman Mehsud",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Freelance","Daily Ummat, Daily Nai Baat","Print Reporter","Human Rights,Politics","Print","Pakistan","Tank",,,"Tank",,"Local","Political Group","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
"2007","Confirmed","Zubair Ahmed Mujahid",,"Pakistan",,,"Male",,,"Journalist",,"Murder","Killed","Staff","Jang","Print Reporter","Corruption,Crime","Print","Pakistan","Mirpur Khas",,,"Mirpur Khas",,"Local","Government Officials","Confirmed",,,"Complete Impunity","No","No","No",,,,,,,,,
