,year,combinedStatus,fullName,sortName,primaryNationality,secondaryNationality,tertiaryNationality,gender,photoUrl,photoCredit,type,lastStatus,typeOfDeath,status,employedAs,organizations,jobs,coverage,mediums,country,location,region,state,locality,province,localOrForeign,sourcesOfFire,motiveConfirmed,accountabilityCrossfire,accountabilityAssignment,impunityMurder,tortured,captive,threatened,charges,motive,lengthOfSentence,healthProblems,impCountry,entry,sentenceDate,sentence,locationImprisoned,desc,city_country,latitude,longitude,lat,lon
93,2000,Confirmed,Mylvaganam Nimalarajan,,Sri Lanka,,,Male,,,Journalist,,Murder,Killed,Staff,"BBC, Virakesari, Ravaya","Broadcast Reporter,Print Reporter",Corruption,"Print,Radio",Sri Lanka,Jaffna,,,Jaffna,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"On the night of October 19, a group of unidentified gunmen approached the home of Nimalarajan, a Jaffna-based journalist who reported for various news organizations, including the BBC’s Tamil and Sinhala-language services, the Tamil-language daily Virakesari, and the Sinhala-language weekly Ravaya.<br> The assailants shot the journalist through the window of his study, where he was working on an article, and threw a grenade into the home before fleeing the premises. The attack occurred during curfew hours in a high-security zone in central Jaffna town. Army officers were summoned to the house, and they took the journalist to Jaffna Hospital, where he was pronounced dead. The journalist’s parents and his 11-year-old nephew were seriously injured in the attack.<br> Local journalists suspect that Nimalarajan’s reporting on vote-rigging and intimidation in Jaffna during the recent parliamentary elections may have led to his murder.<br> Sri Lankan president Chandrika Bandaranaike Kumaratunga ordered defense authorities to launch an immediate inquiry into the assassination. In an October 20 letter, CPJ urged the president to ensure that the investigation was pursued vigorously and its findings made public.<br> Police failed to respond to repeated requests for information regarding the status of the investigation, which appeared to have stalled by year’s end.","Jaffna, Sri Lanka",9.665093,80.0093029,9.665093,80.0093029
94,2001,Confirmed,Nahar Ali,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Staff,Anirban,Print Reporter,"Business,Corruption,Crime",Print,Bangladesh,Khulna,,,Khulna,,Local,Government Officials,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Ali, a correspondent for the Khulna-based, Bengali-language daily Anirban,died shortly before midnight on April 21, while undergoing treatment atKhulna Medical College Hospital for injuries sustained in an attackdays earlier. Late on the night of April 17, masked men kidnapped Alifrom his home in the village of Shovna, according to local pressreports. The assailants stabbed him, beat him severely, and broke hishands and legs before abandoning him on the outskirts of his village,according to police.<br>Ali was found unconscious and taken to the hospital in Khulna, a majorcity in southwestern Bangladesh. Doctors said he died due to majorbrain damage and profuse bleeding.<br>Police suggested that members of the outlawed Biplobi Communist Partymay have killed Ali because of a dispute over ownership of a shrimpfarm. However, journalists in Khulna said that the investigation lackedcredibility because Ali’s reporting had uncovered links between policeand smuggling rings in the region. CPJ sources said that Ali, whoworked as the Dumuria subdistrict correspondent for Anirban,was killed because “he knew too much” about the workings of localcriminal syndicates and the complicity of some local authorities intheir activities.","Khulna, Bangladesh",22.808368899999998,89.44268870147594,22.808368899999998,89.44268870147594
95,2013,Confirmed,Narendra Dabholkar,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Sadhana,Editor,"Culture,Politics",Print,India,Pune,,,Pune,,Local,,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Two unidentified gunmen on motorcycles shot Narendra Dabholkar in the city of Pune while he was taking an early-morning walk, according to local reports. The gunmen fled the scene. Dabholkar died from injuries sustained to his neck and back, police said.<br>Dabholkar was the editor of a weekly Marathi-language print magazine called Sadhana (Spiritual Devotion), which promotes scientific thought and covers topics including caste, politics, and religion. Over the years, Dabholkar had angered many Indians with his lectures and writings, which propagated rationalism and scientific thinking in a country where superstitious beliefs are still rampant, the reports said.<br>Dabholkar, a prominent campaigner against religious superstition, had also spent several years writing in support of legislation to ban fraudulent and exploitative superstitious practices. A few days before his murder, the Maharashtra state government said it would introduce a controversial anti-superstition bill, according to reports.<br>Dabholkar had received threats in the days before his murder, his son, Hamid, told NDTV. Sadhana often published articles on sensitive issues, including the creation of a separate Telangana state, student suicides, farmer suicides, slums, and the ideology behind India’s Naxalite movement.<br>Dabholkar had also founded the Maharashtra Andhashraddha Nirmoolan Samiti (Committee for Eradication of Blind Faith), a group that encouraged social reform in India.<br>Maharashtra Home Minister R. R. Patil said on August 23, 2013, that police were investigating the murder.<br>Also in August 2013, Pune police arrested two alleged arms dealers, Manish Nagori and Vilas Khandelwal, on charges of extortion, reports said. The pair, who were later named as suspects in the journalist’s murder, were released on bail because of a lack of evidence, police said, according to reports. Because the men face charges in other cases, they remain in jail. Both have denied any role in the murder, and Nagori said that investigating authorities offered him money to accept involvement in the murder, reports said. Authorities denied the allegation.<br>In May 2014 the Maharashtra state government handed the case to the Central Bureau of Investigation. Investigations were delayed for a year because of staff shortages at the agency, according to reports. In July and August 2015, the bureau wrote to the state government to request that more officers be assigned to the case, The Hindu reported.<br>In July 2015, relatives of Dabholkar filed a writ petition at the Bombay High Court seeking court monitoring of the investigation, according to reports. In December 2015, the Central Bureau of Investigation informed the Bombay High Court that it had identified two suspects and handed the names to the court, reports said. The names were kept confidential, The Hindu reported.<br>In 2016, the bureau questioned several members of the hard-line Hindu group Sanatan Sanstha, which is believed to be behind the killing. The Sanatan Sanstha denies any role in the murder, reports said. Forensic analysis of the bullet cartridges found at the scene of Dabholkar’s killing and that of writers Govind Pansare and MM Kalburgi suggest a common set of killers, reports said.","Pune, India",18.521428,73.8544541,18.521428,73.8544541
96,2011,Confirmed,Nasrullah Khan Afridi,,Pakistan,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/may%25252018%252520nasrullah_afridi_credit%252520Khyber%252520Union%252520of%252520Journalists.jpg,(Khyber Union of Journalists),Journalist,,Murder,Killed,Freelance,Pakistan Television and Mashriq,"Broadcast Reporter,Print Reporter",,"Print,Television",Pakistan,Peshawar,,,Peshawar,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Afridi, a reporter for Pakistan Television and the localMashriq newspaper, was killed when his car blew up in the city of Peshawar,according to local and international news reports. An explosive device wasdetonated remotely shortly after he returned to the vehicle, which was parkedin a densely populated shopping area, news reports said.<br>The Pakistan Federal Union of Journalists said Afridi, whowas also the president of the Tribal Union of Journalists, had moved toPeshawar to flee militant groups. In May 2006, CPJ reported, unidentified assailants hadlobbed two hand grenades at Afridi’s house in Bara, the main town of KhyberAgency in the Federally Administered Tribal Areas. Afridi had been the targetof a death threat issued on a pirate radio station run by the Islamic militantorganization Lashkar-e-Islam. The threat came after Afridi reported that theauthorities suspected Lashkar-e-Islam of being responsible for an attack inwhich a paramilitary soldier was injured.<br>The journalist moved to Islamabad after the attack but saidofficials there would not heed his complaints of being under threat. He thenmoved to the wealthy Hayatabad area of Peshawar. But in mid-2007, grenades werelobbed at his home there. No one was injured in that attack.<br>Afridi was a popular, senior figure in the tightly knitjournalist community in the dangerous areas along the Afghan border. Hundredsof people, including colleagues, political leaders, and tribal elders, attendedhis memorial service. No arrests were made in the case.","Peshawar, Pakistan",34.0123846,71.5787458,34.0123846,71.5787458
97,2002,Confirmed,Nava Raj Sharma,,Nepal,,,Male,,,Journalist,,Murder,Killed,Staff,Kadam,Editor,"Culture,Human Rights,Politics,War",Print,Nepal,Kalikot,,,Kalikot,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Sharma, editor of the Nepali-language weekly Kadam, was kidnapped by Maoist rebels on June 1 and later killed, according to a team of journalists and human rights activists organized by the government’s National Human Rights Commission (NHRC). The NHRC visited Kalikot District, where Sharma lived, as part of an August mission to Nepal’s remote midwestern region. The group learned of his murder from local residents and police.<br> Nepal’s Maoist rebels, who have been fighting a guerrilla war since 1996 to overthrow the country’s constitutional monarchy, control portions of the country, including much of Kalikot and neighboring districts.<br> Maoist fighters kidnapped Sharma from the Kalikot District village of Syuna on June 1, according to members of the NHRC team. The national English-language newspaper The Kathmandu Post reported that police recovered Sharma’s badly mutilated body from the area in mid-August. Rebels had gouged out his eyes, cut his hands and legs, and shot him in the chest, police told the NHRC team.<br> Sharma, who lived in the village of Sipkhana, which is adjacent to Syuna, was known as an independent journalist. He had been working at Kadam since 1998 and was formerly the editor of the local newspaper Karnali Sandesh, according to the Kathmandu-based Center for Human Rights and Democratic Studies (CEHURDES). A CEHURDES representative was part of the NHRC team that visited the area.<br> Sharma was also a local schoolteacher, but local press sources said it appeared that he was targeted for his journalism. One journalist said that Sharma had refused pressure from the rebels to turn Kadam into a Maoist propaganda organ.","Kalikot, Nepal",29.2160406,81.68841999723148,29.2160406,81.68841999723148
98,2018,Confirmed,Navin Nischal,,India,,,Male,,,Journalist,Killed,Murder,Killed,Freelance,Dainik Bhaskar,Print Reporter,Politics,Print,India,Arrah,,Bihar,Arrah,Bhojpur,Local,"Government Officials,Criminal Group",Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Navin Nischal, a stringer for the Hindi-language daily, Dainik Bhaskar, was killed on the evening of March 25, 2018, after an SUV ran him over in the town of Arrah in India’s Bihar state. Nischal and freelance journalist Vijay Singh were riding Nischal’s motorbike on the Arrah-Sasaram highway when an SUV hit them from behind and ran them over, according to a report in the Indian Express newspaper and Rakesh Kumar Singh, Dainik Bhaskar’s bureau chief for the Bhojpur district including Arrah.<br>Nischal and Singh died at the scene of the accident, according to Avkash Kumar, the Bhojpur district police superintendent.<br>Kumar told CPJ that a special investigation team had been formed to look into the journalists’ deaths.<br>According to Kumar, the Arrah village head, Mohammad Harshu, was driving the car that ran over Nischal and Singh. Police have arrested both Harshu and his son, Dablu, who was in the vehicle with his father at the time of the accident, Kumar said.<br>CPJ was unable to locate contact information for Mohammad and Dablu Harshus’ lawyers to get comment.<br>The Indian Express, quoting police sources, said that an argument had broken out between Nischal, Vijay Singh, and Mohammad Harshu earlier in the day. According to Indian Express, Nischal’s recent reporting on child marriage and on Harshu’s role in land divisions angered the village head.<br>Kumar declined to comment on the alleged threats.","Arrah, India",25.62345725,84.59683868653386,25.62345725,84.59683868653386
99,2015,Confirmed,Niloy Neel,,Bangladesh,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,Internet Reporter,"Culture,Human Rights,Politics",Internet,Bangladesh,Dhaka,,,Dhaka,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"At least four assailants entered the blogger’s home and hacked him to death with sharp weapons in the Goran neighborhood in the capital, Dhaka, according to news reports.<br>The blogger was popularly known by his penname, Niloy Neel. His last name was identified in news reports as Chatterjee and Chattopadhyay.<br>Neel frequently criticized Islamic extremism and advocated for minority rights, as well as secular ideas, according to news reports. He was a regular contributor to Mukto-Mona, the blog founded by Bangladeshi-American blogger Avijit Roy, who was murdered in February 2015 while visiting Dhaka, The Wall Street Journal reported. Neel also contributed to Istishon, a blog on social and political issues, according to Global Voices, and posted commentaries on Facebook.<br>Neel was also an active member of the Ganajagaran Mancha, a group campaigning for the execution of those accused of committing war crimes during Bangladesh’s 1971 war of independence.<br>In 2013, Neel’s name appeared on a list widely circulated by Islamist groups in Bangladesh that called for the deaths of 84 bloggers perceived to be atheists, according to news accounts.<br>The BBC reported that Neel identified as a secular atheist and came from a Hindu background–similar to bloggers Roy and Ananta Bijoy Das, slain earlier in 2015.<br>Neel was the fourth blogger to be killed in Bangladesh in six months. Another secular blogger, Washiqur Rahman Babu, died on March 30 from injuries he sustained in an attack in broad daylight.<br>Hours after Neel was killed, an Islamist group claimed responsibility for his death, according to news accounts.<br>Neel’s wife, Asha Moni, said that a few months prior to his death, police at a nearby police station refused to accept a complaint Neel tried to file after he noticed he was being followed by strange men, according to reports, which also cited a review of Neel’s Facebook posts. Police said they were unaware of any such request.<br>The blogger’s friends said he had been threatened in the past, The Wall Street Journal reported.","Dhaka, Bangladesh",23.7861979,90.4026151,23.7861979,90.4026151
100,2007,Confirmed,Noor Hakim Khan,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Daily Pakistan,Print Reporter,"Politics,War",Print,Pakistan,Bajaur,,,Bajaur,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Khan, a correspondent for the Daily Pakistan and a vicepresident of the Tribal Union of Journalists, was one of five people killed bya roadside bomb in the Bajaur region of the North West Frontier Province, nowknown as Khyber Pakhtunkhwa. Behroz Khan, the Peshawar-based reporter for The News,confirmed news reports that the victim was returning from covering a jirga, ortribal council. He had been invited to witness the demolition of a housebelonging to the perpetrator of a February car bombing that had killed a localphysician. The demolition was part of the disposition of the tribal council case.<br>Khan was traveling with a local official and a tribal chiefwho had taken a role in the case, according to news reports. Their car wasthird in a convoy returning from the area, reports said, suggesting it mighthave been targeted.","Bajaur, Pakistan",34.7763887,71.5144196,34.7763887,71.5144196
101,1997,Confirmed,P. Srinivas Rao,,India,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Eenadu Television (E-TV),Camera Operator,"Business,Culture",Television,India,Hyderabad,,,Hyderabad,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Srinivas Rao and S. Krishna, assistant cameramen for E-TV; Jagadish Babu, a producer for private channel E-TV; Gangadhara Raju, an E-TVcameraman; andRaja Sekhar, an assistant for E-TV, were killed in a car bomb explosionwhile covering the making of a film. As they were leaving the RamaNaidu Studios in Hyderabad, their vehicle caught the brunt of themassive blast, which police said was caused by a remote control carbomb parked by the studio entrance. The television crew’s driver, P.<br>Chandra Sekhar Reddy, was also killed. At least 17 others died and morethan 30 were injured. The attack is believed to have been motivated bypolitical rivalry targeted at the film’s producer, Paritala Ravi, aformer guerrilla leader pardoned in return for his surrender. Ravi isalso a state legislator and member of the governing Telugu Desam party.","Hyderabad, India",17.360589,78.4740613,17.360589,78.4740613
102,1996,Confirmed,Parag Kumar Das,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Asomiya Pratidin,Editor,Human Rights,Print,India,Assam,,,Assam,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Das, editor-in-chief of the largest circulation daily in Assam, Asomiya Pratidin, was fatally shot in the state capital, Guwahati, as he was picking up his 7-year-old son from school. He was the leading journalistic voice for self-rule for Assam and had continued covering separatist perspectives despite arrests in 1992 and 1993. A monitor of human rights, he also published a newsletter that reported on army and counterinsurgency abuses against the Assamese. Colleagues believe his recent interview with the leader of the separatist United Liberation Front of Assam triggered his assassination by a splinter group.","Assam, India",26.4073841,93.2551303,26.4073841,93.2551303
103,2008,Confirmed,Paranirupasingham Devakumar,,Sri Lanka,,,Male,,,Journalist,,Murder,Killed,Staff,News 1st,Broadcast Reporter,"Politics,War",Television,Sri Lanka,Jaffna,,,Jaffna,,Local,Political Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Devakumar, Jaffna correspondent for the independent channelNews 1st, was stabbed to death when he was attacked by supporters of theLiberation Tigers of Tamil Eelam (LTTE), according to Sunanda Deshapriya,spokesman for local press freedom group the Free Media Movement. Deshapriya said that FMM’s investigations had shown that Devakumar was killedby Tamil Tiger supporters in retribution for critical reporting on LTTE activitiesin the area. Deshapriya also noted the journalist had covered agovernment-sponsored rally that the LTTE had wanted him to avoid.<br>The group also killed Mahendran Warden, a friend of thejournalist who was traveling with him by motorbike in the government-controlledarea, according to a report published on the News 1st Web site. Devakumar andWarden were returning home in the evening when the attack occurred, newsreports said. Warden was the son of a leading member of the Eelam People’sDemocratic Party, a Tamil party working with the government, Deshapriya said.<br>Devakumar was one of the few remaining journalists reportingfrom the peninsula, a focal point in the civil war between the predominantlySinhalese government and the LTTE, which claims territory for an ethnic Tamilhomeland. Conflict worsened in recent years, and a 2002 cease-fire agreement wasabandoned in January 2008.","Jaffna, Sri Lanka",9.665093,80.0093029,9.665093,80.0093029
104,2003,Confirmed,Parvaz Mohammed Sultan,,India,,,Male,,,Journalist,,Murder,Killed,Staff,News and Feature Alliance,Editor,Politics,Print,India,Srinagar,,,Srinagar,,Local,,Confirmed,,,Complete Impunity,No,No,No,,,,,,,,,,"Sultan, editor of the independent newswire service News and FeatureAlliance (NAFA), which is based in Srinagar, the summer capital ofJammu and Kashmir State, was shot dead by an unidentified gunman.<br>Two men entered Sultan’s office at around 5:30 p.m., according to newsreports. After a brief conversation with Sultan, one of the men shothim in the head. The Associated Press (AP) reported that the killerused a pistol with a silencer. No one stopped the assailants fromleaving the premises, which is located in the press enclave in centralSrinagar.<br>Though Sultan was rushed to the hospital, doctors declared thejournalist dead within minutes of his arrival, police told the AP.<br>Sultan, 36, was known as an independent journalist who had worked forseveral local Urdu-language dailies during his career. In addition torunning NAFA, he contributed investigative stories and columns to theUrdu-language newspaper Chattan, one of the oldest newspapers in Kashmir.<br>Journalists working in the disputed territory of Kashmir, which bothIndia and Pakistan claim, have long been vulnerable to attack byvarious parties to the conflict. Sultan’s colleagues told CPJ thatthough they were not aware of any specific threats against thejournalist, wire service agencies such as NAFA are under constantpressure to carry statements issued by competing political and militantgroups.<br>Police blamed the murder on militant groups but have not yet conducteda thorough investigation. No group claimed responsibility for Sultan’smurder, and many of the leading militant organizations, includingHezb-ul Mujahedeen, condemned the murder, as did the All PartiesHurriyat Conference, the main separatist alliance.","Srinagar, India",34.0747444,74.8204443,34.0747444,74.8204443
105,2010,Confirmed,Pervez Khan,,Pakistan,,,Male,,,Journalist,,Dangerous Assignment,Killed,Staff,Waqt TV,"Broadcast Reporter,Camera Operator","Politics,War",Television,Pakistan,Ghalanai,,,Ghalanai,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Abdul Wahab, a reporter for Express News, and Pervez Khan, aWaqt TV journalist, were among 50 people killed in a double-suicide bomb attackin the Mohmand tribal district, according to international news reports. The journalists were covering a meeting of tribal leadersand government officials in Ghalanai, the administrative center of the region,when two suicide bombers wearing police uniforms detonated explosives. Newsreports said the meeting was called to discuss the formation of an anti-Talibanmilitia. Agence France-Presse said a Pakistani Taliban group took credit forthe attack, which injured more than 100 people.<br>The journalists worked as both cameramen and reporters.","Ghalanai, Pakistan",34.3230293,71.3996165,34.3230293,71.3996165
106,2000,Confirmed,Pradeep Bhatia,,India,,,Male,https://cpj-photos.s3-us-west-2.amazonaws.com/pradeep_bhatia_india_2000.jpg,,Journalist,,Dangerous Assignment,Killed,Staff,The Hindustan Times,Photographer,War,Print,India,Srinagar,,,Srinagar,,Local,Political Group,Confirmed,,,,,,,,,,,,,,,,"Bhatia, a photographer for the Indian newspaper The Hindustan Times, was one of at least 12 people killed in a bomb attack in the Kashmir capital, Srinagar. Six other journalists died in the blast.<br> The militant Kashmiri separatist group Hezb-ul Mujahedeen claimed responsibility for the attack in a statement issued from its headquarters in the Pakistani capital, Islamabad.<br> Hezb-ul Mujahedeen spokesman Salim Hashmi was quoted in the August 11 edition of The Hindustan Times as saying, “We are deeply grieved over the death of a press photographer and injuries to some journalists.” He said the attack had targeted Indian security forces.<br> However, the choreography of the bombing seemed certain to endanger journalists.<br> Shortly after noon on Thursday, August 10, a grenade was thrown toward the entrance of the State Bank of India, near Residency Road in central Srinagar. This initial blast lured journalists and security forces to the area and was followed about 15 minutes later by the detonation of a powerful car bomb within a few feet of the crowd.<br> Bhatia, 31, died of shrapnel wounds to his heart, according to the Indian newspaper The Asian Age. Including Bhatia, nine journalists have been killed in Kashmir since 1989, when a long-running conflict between Muslim separatists and Indian government forces became a full-scale civil war.","Srinagar, India",34.0747444,74.8204443,34.0747444,74.8204443
107,2006,Confirmed,Prahlad Goala,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Asomiya Khabar,Print Reporter,Corruption,Print,India,Golaghat,,,Golaghat,,Local,Government Officials,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Goala was murdered near his home in Golaghat district in India’s northeastern state of Assam after writing a series of articles on corruption in the Assamese-language daily Asomiya Khabar that linked local forestry service officials to timber smuggling.<br> Local journalists told CPJ that police arrested forest warden Zamman Jinnah in connection with the death. He was released on bail. Two other suspects, who were not forestry service employees, were also taken into custody, the journalists said.<br> Jinnah had made death threats against Goala soon after his articles on corruption in the forestry service appeared, The Assam Tribune reported.<br> Goala, 32, was riding a motorcycle near his home some 160 miles (260 kilometers) east of the state capital, Guwahati, when he was apparently rammed by a truck. When police arrived at the scene, they found that Goala had been stabbed several times.<br> Local journalist organizations and civic groups staged a protest in Golaghat on January 10 and called for a full investigation into the killing.<br>After Goala’s widow filed a First Information Report, police arrested an officer in the Forest Department named K. Zaman Jinnah, reports said. Police said the forest officer was suspected of hiring professional killers to murder Goala . Golaghat Superintendent of Police Madan Chetia said they were investigating, according to a 2006 report published in The Hoot. CPJ was unable to determine if the officer denied the charges against him.<br>Jinnah allegedly threatened Prahlad for his exposé on Jinnah’s alleged misuse of power, according to Rohit Gogoi, the general secretary of Golaghat District Journalists Association, The Hoot reported.","Golaghat, India",26.40490095,94.03209112120626,26.40490095,94.03209112120626
108,2007,Confirmed,Prakash Singh Thakuri,,Nepal,,,Male,,,Journalist,,Murder,Killed,Freelance,Freelance,Print Reporter,Politics,Print,Nepal,Mahendranagar,,,Mahendranagar,,Local,Political Group,Confirmed,,,Complete Impunity,No,Yes,No,,,,,,,,,,"Armed men believed to be associated with Nepal’s Maoistparty abducted freelance reporter Thakuri from his home in Mahendranagar, a city in Kanchanpur district, at around10 a.m., on July 5, 2007. The journalist’s body was not recovered, but localpolice later classified the investigation as a murder case. Thakuri edited and published the royalist newspaper Aajako Samachar until the king wasforced to cede control of the government in April 2006 after weeks ofpro-democracy demonstrations. He was also a prominent member of the royalistNational Journalists Federation, local newspapers reported.<br>Three days after Thakuri was abducted, a previously unknown groupcalling itself the National Republican Army Nepal claimed in an email that ithad killed the journalist for circulating “propaganda in support of themonarchy,” according to news reports. Police were unable to verify the originof the email, which lacked details such as the time and place of the murder, newsreports said. CPJ classified the case as missing until March 2012, after it conducted a fact-finding mission to Nepal.<br>Thakuri’s wife, Janaki, identified three members of theMaoist’s notoriously aggressive youth branch, the Young Communist League, as beingpart of the group responsible the kidnapping, news reports said.<br>The Maoist party signed a peace agreement in November 2006.<br>After it joined the coalition government as the Unified Communist Party ofNepal (Maoist), leaders stopped the investigation of the three men in2009, arguing that the 2006 peace accord precluded prosecution for politicalcrimes, according to the local press freedom group Freedom Forum. In 2011,Nepal’s Supreme Court reinstated the case, ruling that the accord applied only tocrimes committed before November 2006. The murder case remains open in aKanchanpur court.","Mahendranagar, Nepal",26.8635752,85.9641053,26.8635752,85.9641053
109,2009,Confirmed,Puniyamoorthy Sathiyamoorthy,,Sri Lanka,,,Male,,,Journalist,,Dangerous Assignment,Killed,Freelance,freelance,Broadcast Reporter,"Politics,War","Radio,Television",Sri Lanka,Mullaitheevu district,,,Mullaitheevu district,,Local,Government Officials,Confirmed,,,,,,,,,,,,,,,,"Sathiyamoorthy, a supporter of the secessionist LiberationTigers of Tamil Eelam (LTTE), wrote for many pro-Tamil publications andfrequently contributed to official LTTE media. His live commentaries fromconflict zones were widely seen and heard on pro-Tamil television and radiobroadcasts. According to independent Tamil news sources as well as the LTTE, hewas killed in a Sri Lankan artillery barrage in the Mullaitheevu district.<br>Colleagues outside of the conflict area, not all of themTamils, said Sathiyamoorthy’s reports and commentaries were measured, and thathe strove to maintain journalistic standards and an accurate representation ofthe wartime situations in which he found himself. His work had global impact, reaching largenumbers of Tamils living overseas.<br>Born in 1972, he eventually moved to Jaffna but traveled throughout the areascontrolled by the LTTE during the conflict. He was married and was the fatherof a 6-year-old girl.<br>Several Tamil media reports said Sathiyamoorthy did not dieimmediately. They cited relatives who said a lack of proper medicalattention contributed to his death.","Mullaitheevu district, Sri Lanka",7.2482364,81.8375386,7.2482364,81.8375386
110,2016,Confirmed,Rajdev Ranjan,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Hindustan,Print Reporter,"Corruption,Crime,Politics",Print,India,"Siwan, Bihar",,,"Siwan, Bihar",,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Unknown men shot Rajdev Ranjan, the Hindi national daily newspaper Hindustan‘s bureau chief for Siwan, in the central Indian state of Bihar, at close range as he was returning to his office, according to press reports. The journalist, also identified as Rajdeo Ranjan in press reports, was hit in the head and the chest, killing him, according to local media. Police said they were investigating the killing, and said Ranjan had no known personal enmity with anyone, according to reports. In June, police said they had arrested five suspects in the shooting, who named Laddan Mian as the man who hired them to commit the murder, reports said. Mian, whom news reports identified as having political connections, voluntarily appeared before a court on June 2, 2016, and denied involvement in the killing, news reports said. The journalist’s widow, Asha Devi, believes Ranjan was killed in retribution for his critical reporting on a lawmaker who is currently serving prison time for dozens of charges, including murder, illegal possession of firearms, and voter-intimidation, according to news reports. In March 2016, Ranjan had broken news about a prison meeting between the former lawmaker and another local official, who shared a “feast,” reports said. Local journalists said Ranjan had been receiving death threats from criminals before his death, news accounts said.<br>Chief Minister Nitish Kumar’s state government called for a probe into the killing by the national-level investigative agency, the Central Bureau of Investigation, according to reports.","Siwan, Bihar, India",26.1310043,84.39125660595198,26.1310043,84.39125660595198
111,2012,Confirmed,Rajesh Mishra,,India,,,Male,,,Journalist,,Murder,Killed,Staff,Media Raj,Print Reporter,Corruption,Print,India,Rewa,,,Rewa,,Local,Criminal Group,Confirmed,,,Complete Impunity,No,No,Yes,,,,,,,,,,"Two assailants hit Mishra on the head with an iron rod while he was at a public tea stall in Rewa town in the central state of Madhya Pradesh, according to local news reports. The journalist died at a local hospital, the reports said.<br>Mishra, a journalist for the local Hindi-language weekly Media Raj, had written articles on alleged financial irregularities in local schools, according to the news reports. The reports cited the journalist’s family members as saying that he had been threatened during the week leading up to the attack.<br>Police arrested at least four men for carrying out the murder, including Rajneesh Banerjee, who owned the schools Mishra was covering and a rival Hindi-language weekly, Vindhya Bharat. Vindhya Bharat Editor Anil Tripathi and two other employees were also arrested.<br>Rewa Superintendent of Police Umesh Joga told the New Delhi-based media watchdog website The Hoot that Banerjee and his associates had retaliated against Mishra in connection with his reports. Vindhya Bharat and Media Raj each had a circulation of about 500 copies, The Hoot reported.<br>Banerjee was convicted of murder by a court in Rewa and sentenced to life imprisonment under section 120B of the Indian Penal Code, according to Banerjee. At an appeal hearing in January 2015, the Madhya Pradesh High Court granted bail to Banerjee. In its decision, the court said that the main evidence against him was two letters written by Mishra, in which the journalist said he feared Banerjee would kill him. The judges said this was insufficient evidence, adding, “Merely because certain apprehension is made, it cannot be a material for assuming that the appellant has convicted the offence.”In April 2016, Banerjee told CPJ that his conviction was suspended and he had been granted bail. “I was in my office at that time [when Mishra was killed], yet I was convicted,” he said. His co-accused, Tripathi, was acquitted, he said. Banerjee said he was confident he would also be acquitted because a doctor’s report allegedly said that Mishra was drunk at the time. CPJ was unable to verify his claims.","Rewa, India",24.75926685,81.65500021078341,24.75926685,81.65500021078341
